,Country,HS4,Trade Value Relatedness
0,Algeria,Gold,0.0440824353
1,Algeria,Soap,0.0369600159
2,Algeria,Other Oily Seeds,0.0369475551
3,Algeria,Raw Lead,0.0368371318
4,Algeria,Raw Cotton,0.035825586
5,Algeria,Insect Resins,0.0352649576
6,Algeria,Cocoa Beans,0.0351138062
7,Algeria,Sulphur,0.0346913613
8,Algeria,Iron Reductions,0.0344837669
9,Algeria,Manganese Ore,0.0344582751
10,Benin,Cocoa Beans,0.1050787905
11,Benin,Bran,0.0999463838
12,Benin,Dried Legumes,0.0983878762
13,Benin,Crude Petroleum,0.097805838
14,Benin,Molasses,0.0966186274
15,Benin,Manganese Ore,0.0959088465
16,Benin,Insect Resins,0.0955814063
17,Benin,Raw Lead,0.0945460487
18,Benin,"Locust beans, seaweed, sugar beet, cane, for food",0.0943973814
19,Benin,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0936864192
20,Botswana,Raw Cotton,0.0478885749
21,Botswana,Manganese Ore,0.0475454088
22,Botswana,Gold,0.0473425511
23,Botswana,Other Oily Seeds,0.0458242925
24,Botswana,Raw Sugar,0.0450123039
25,Botswana,Other Ores,0.0444251649
26,Botswana,Wool,0.0433990304
27,Botswana,Cocoa Beans,0.0428396272
28,Botswana,Molasses,0.0421097741
29,Botswana,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0417758246
30,Burkina Faso,Manganese Ore,0.0458164599
31,Burkina Faso,Cocoa Beans,0.0381612183
32,Burkina Faso,Other Ores,0.0344116924
33,Burkina Faso,Insect Resins,0.0343477991
34,Burkina Faso,Dried Legumes,0.0342763146
35,Burkina Faso,Ground Nuts,0.0339833354
36,Burkina Faso,Raw Sugar,0.0336698596
37,Burkina Faso,Other Hides and Skins,0.0333794753
38,Burkina Faso,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0332559553
39,Burkina Faso,Precious Metal Ore,0.0327185081
40,Burundi,Cocoa Beans,0.0887664644
41,Burundi,Other Oily Seeds,0.082454644
42,Burundi,Palm Oil,0.0794031597
43,Burundi,Manganese Ore,0.0791239266
44,Burundi,Insect Resins,0.0716536161
45,Burundi,Raw Sugar,0.0714282014
46,Burundi,Cement,0.070298728
47,Burundi,Raw Cotton,0.0700082515
48,Burundi,Raw Tobacco,0.0693973178
49,Burundi,Bananas,0.0691897848
50,Chad,Petroleum Gas,0.0206542741
51,Chad,Manganese Ore,0.0204740802
52,Chad,Cocoa Beans,0.0189212672
53,Chad,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0182091502
54,Chad,Dried Legumes,0.0181639673
55,Chad,Chromium Ore,0.0171031378
56,Chad,Raw Sugar,0.016117751
57,Chad,"Coconuts, Brazil Nuts, and Cashews",0.0160835488
58,Chad,Onions,0.015247494
59,Chad,Tin Ores,0.0152229639
60,Cameroon,Palm Oil,0.0759836604
61,Cameroon,Manganese Ore,0.067422396
62,Cameroon,Coconut Oil,0.0664078103
63,Cameroon,"Coconuts, Brazil Nuts, and Cashews",0.0663497725
64,Cameroon,Other Oily Seeds,0.0660046486
65,Cameroon,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0643008965
66,Cameroon,Aluminium Ore,0.0618882495
67,Cameroon,Tin Ores,0.0603242715
68,Cameroon,Bran,0.0603135121
69,Cameroon,Raw Sugar,0.0602918053
70,Central African Republic,Cocoa Beans,0.0492098316
71,Central African Republic,Non-fillet Frozen Fish,0.0400283255
72,Central African Republic,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0388482504
73,Central African Republic,Other Oily Seeds,0.0384948465
74,Central African Republic,Bran,0.0384945652
75,Central African Republic,Palm Oil,0.0383777728
76,Central African Republic,Manganese Ore,0.038193793
77,Central African Republic,Tin Ores,0.0381687166
78,Central African Republic,Crude Petroleum,0.0378544452
79,Central African Republic,"Coconuts, Brazil Nuts, and Cashews",0.0363732506
80,Comoros,Cocoa Beans,0.0389789059
81,Comoros,Coconut Oil,0.0323910501
82,Comoros,Fish Fillets,0.030492128
83,Comoros,Crustaceans,0.0297381364
84,Comoros,Fish Oil,0.0297289886
85,Comoros,Non-fillet Fresh Fish,0.0297217768
86,Comoros,Crude Petroleum,0.0294768361
87,Comoros,Scrap Aluminium,0.0290512067
88,Comoros,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0288550911
89,Comoros,Gold,0.0287486092
90,Egypt,Raw Tobacco,0.3589805035
91,Egypt,Crustaceans,0.3486390465
92,Egypt,Other Nuts,0.346539084
93,Egypt,Other Vegetables,0.3458990825
