Country,HS4
Algeria,"['Gold', 'Soap', 'Other Oily Seeds', 'Raw Lead', 'Raw Cotton']"
Angola,"['Gold', 'Cocoa Beans', 'Sulphur', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Chromium Ore']"
Benin,"['Cocoa Beans', 'Bran', 'Dried Legumes', 'Crude Petroleum', 'Molasses']"
Botswana,"['Raw Cotton', 'Manganese Ore', 'Gold', 'Other Oily Seeds', 'Raw Sugar']"
Burkina Faso,"['Manganese Ore', 'Cocoa Beans', 'Other Ores', 'Insect Resins', 'Dried Legumes']"
Burundi,"['Cocoa Beans', 'Other Oily Seeds', 'Palm Oil', 'Manganese Ore', 'Insect Resins']"
Cameroon,"['Palm Oil', 'Manganese Ore', 'Coconut Oil', 'Coconuts, Brazil Nuts, and Cashews', 'Other Oily Seeds']"
Central African Republic,"['Cocoa Beans', 'Non-fillet Frozen Fish', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Other Oily Seeds', 'Bran']"
Chad,"['Petroleum Gas', 'Manganese Ore', 'Cocoa Beans', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Dried Legumes']"
Comoros,"['Cocoa Beans', 'Coconut Oil', 'Fish Fillets', 'Crustaceans', 'Fish Oil']"
Cote d'Ivoire,"['Aluminium Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Other Oily Seeds', 'Crude Petroleum', 'Insect Resins']"
Djibouti,"['Gold', 'Cocoa Beans', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Bananas', 'Crustaceans']"
Egypt,"['Raw Tobacco', 'Crustaceans', 'Other Nuts', 'Other Vegetables', 'Chromium Ore']"
Eritrea,"['Cocoa Beans', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Tin Ores', 'Aluminium Ore', 'Precious Metal Ore']"
Eswatini,"['Knit Sweaters', 'Molasses', 'Other Knit Garments', 'Crustaceans', ""Knit Men's Undergarments""]"
Ethiopia,"['Crustaceans', 'Cocoa Beans', ""Non-Knit Women's Undergarments"", 'Melons', 'Raw Tobacco']"
Gabon,"['Cocoa Beans', 'Gold', 'Tin Ores', 'Aluminium Ore', 'Petroleum Gas']"
Gambia,"['Cocoa Beans', 'Crustaceans', 'Palm Oil', 'Non-fillet Fresh Fish', 'Bananas']"
Ghana,"['Petroleum Gas', 'Raw Cotton', 'Raw Sugar', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Crustaceans']"
Guinea,"['Manganese Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Palm Oil', 'Tin Ores', 'Tapioca']"
Kenya,"['Raw Sugar', 'Bananas', 'Crustaceans', 'Cassava', 'Melons']"
Lesotho,"[""Knit Women's Undergarments"", 'Other Cloth Articles', 'Packing Bags', 'Other Knit Clothing Accessories', 'House Linens']"
Liberia,"['Aluminium Ore', 'Manganese Ore', 'Crude Petroleum', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Crustaceans']"
Libya,"['Ammonia', 'Non-fillet Frozen Fish', 'Raw Aluminium', 'Refined Petroleum', 'Cocoa Beans']"
Madagascar,"['Tea', 'Jute Woven Fabric', 'Nutmeg, mace and cardamons', 'Other Cloth Articles', 'Fake Hair']"
Malawi,"['Gold', 'Cocoa Beans', 'Palm Oil', 'Bananas', 'Manganese Ore']"
Mali,"['Cocoa Beans', 'Palm Oil', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Ground Nuts', 'Raw Sugar']"
Mauritania,"['Manganese Ore', 'Cocoa Beans', 'Crude Petroleum', 'Tropical Fruits', 'Petroleum Gas']"
Mauritius,"['Other Cloth Articles', 'Bananas', 'Packing Bags', 'Crustaceans', ""Other Women's Undergarments""]"
Morocco,"[""Knit Men's Undergarments"", 'Other Knit Clothing Accessories', 'Pepper', 'Raw Tobacco', 'Insect Resins']"
Mozambique,"['Manganese Ore', 'Cocoa Beans', 'Tin Ores', 'Insect Resins', 'Crude Petroleum']"
Namibia,"['Niobium, Tantalum, Vanadium and Zirconium Ore', 'Cocoa Beans', 'Wool', 'Raw Cotton', 'Precious Metal Ore']"
Niger,"['Cocoa Beans', 'Raw Cotton', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Manganese Ore', 'Tropical Fruits']"
Nigeria,"['Manganese Ore', 'Gold', 'Raw Cotton', 'Palm Oil', 'Tropical Fruits']"
Republic of the Congo,"['Petroleum Gas', 'Manganese Ore', 'Gold', 'Non-fillet Frozen Fish', 'Scrap Vessels']"
