Country,HS4
Algeria,"['Nitrogenous Fertilizers', 'Petroleum Gas', 'Ammonia', 'Calcium Phosphates', 'Hydrogen']"
Angola,"['Crude Petroleum', 'Granite', 'Diamonds', 'Petroleum Gas', 'Bran']"
Benin,"['Raw Cotton', 'Coconuts, Brazil Nuts, and Cashews', 'Other Oily Seeds', 'Other Vegetable Residues', 'Other Pure Vegetable Oils']"
Botswana,"['Diamonds', 'Salt', 'Carbonates', 'Bovine', 'Synthetic Reconstructed Jewellery Stones']"
Burkina Faso,"['Other Oily Seeds', 'Zinc Ore', 'Raw Cotton', 'Gold', 'Coconuts, Brazil Nuts, and Cashews']"
Burundi,"['Tin Ores', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Tea', 'Coffee', 'Other Fermented Beverages']"
Cameroon,"['Cocoa Beans', 'Cocoa Butter', 'Cocoa Paste', 'Rough Wood', 'Veneer Sheets']"
Cape Verde,"['Processed Fish', 'Non-fillet Frozen Fish', 'Molluscs', 'Fishing and Hunting Equipment', 'Footwear Parts']"
Central African Republic,"['Rough Wood', 'Sawn Wood', 'Diamonds', 'Raw Cotton', 'Refined Copper']"
Chad,"['Insect Resins', 'Other Oily Seeds', 'Crude Petroleum', 'Gold', 'Raw Cotton']"
Comoros,"['Vanilla', 'Scrap Vessels', 'Essential Oils', 'Recreational Boats', 'Vacuum Flask']"
Democratic Republic of the Congo,"['Cobalt Oxides and Hydroxides', 'Cobalt', 'Refined Copper', 'Tin Ores', 'Raw Copper']"
Djibouti,"['Chlorides', 'Other Animals', 'Sheep and Goats', 'Palm Oil', 'Dried Legumes']"
Egypt,"['Aluminium Powder', 'Phosphatic Fertilizers', 'Calcium Phosphates', 'Preserved Vegetables', 'Hand-Woven Rugs']"
Eritrea,"['Zinc Ore', 'Copper Ore', 'Gold', ""Non-Knit Men's Shirts"", 'Tobacco Processing Machines']"
Eswatini,"['Scented Mixtures', 'Raw Sugar', 'Zippers', 'Jams', 'Industrial Fatty Acids, Oils and Alcohols']"
Ethiopia,"['Other Oily Seeds', 'Cassava', 'Tanned Sheep Hides', 'Coffee', 'Cut Flowers']"
Gabon,"['Manganese Ore', 'Veneer Sheets', 'Manganese', 'Sawn Wood', 'Crude Petroleum']"
Gambia,"['Fish Oil', 'Coconuts, Brazil Nuts, and Cashews', 'Ground Nut Oil', 'Non-fillet Frozen Fish', 'Other Oily Seeds']"
Ghana,"['Cocoa Beans', 'Cocoa Paste', 'Cocoa Butter', 'Coconuts, Brazil Nuts, and Cashews', 'Cocoa Powder']"
Guinea,"['Aluminium Ore', 'Gold', 'Aluminium Oxide', 'Cocoa Beans', 'Coconuts, Brazil Nuts, and Cashews']"
Guinea Bissau,"['Coconuts, Brazil Nuts, and Cashews', 'Non-fillet Frozen Fish', 'Fish Oil', 'Other Oily Seeds', 'Cassava']"
Kenya,"['Tea', 'Cut Flowers', 'Tin Ores', 'Titanium Ore', 'Legumes']"
Lesotho,"['Wool', 'Diamonds', 'Bedspreads', ""Knit Men's Shirts"", ""Knit Women's Suits""]"
Liberia,"['Rubber', 'Scrap Vessels', 'Cocoa Beans', 'Passenger and Cargo Ships', 'Iron Ore']"
Libya,"['Iron Reductions', 'Crude Petroleum', 'Live Fish', 'Scrap Copper', 'Gold']"
Madagascar,"['Vanilla', 'Titanium Ore', 'Graphite', 'Raw Nickel', 'Niobium, Tantalum, Vanadium and Zirconium Ore']"
Malawi,"['Raw Tobacco', 'Tea', 'Ground Nuts', 'Dried Legumes', 'Raw Sugar']"
Mali,"['Insect Resins', 'Other Oily Seeds', 'Gold', 'Rough Wood', 'Raw Cotton']"
Mauritania,"['Fish Oil', 'Iron Oxides and Hydroxides', 'Animal Meal and Pellets', 'Molluscs', 'Non-fillet Frozen Fish']"
Mauritius,"['Other Animals', 'Processed Fish', 'Vanilla', ""Non-Knit Men's Shirts"", 'Raw Sugar']"
Morocco,"['Calcium Phosphates', 'Phosphoric Acid', 'Phosphatic Fertilizers', 'Legumes', 'Mixed Mineral or Chemical Fertilizers']"
Mozambique,"['Titanium Ore', 'Niobium, Tantalum, Vanadium and Zirconium Ore', 'Graphite', 'Raw Tobacco', 'Raw Aluminium']"
